Seeds and Diffraction Patterns Group 1
Seeds:
[26.54643223 18.6424431   2.90449786] [32.28837533 25.90318335 -0.32724422] [38.38377972 18.43676722  2.02693584] [20.60580973 37.42305626  1.34469868] [0. 0. 0.]
Diffraction Patterns:
26 29 0.07824435221678216
38 35 0.07696309731704691
32 25 0.062171559757568606
39 38 0.037611823695632145
25 26 0.03709093191436429
24 29 0.03637233532459456
39 29 0.03553779416102726
25 35 0.0350893270327745
40 35 0.03507378183198397
23 23 0.033355332060947374
41 41 0.032991245075104016
33 23 0.030641409744215385
55 11 0.027548960425821785
6 47 0.025466247357049287
58 17 0.02541735196974984
32 43 0.022624644506090374
32 21 0.022523947275510596
36 22 0.020056414561240486
30 45 0.019975189103710995
34 19 0.019761514481678864
28 42 0.019676995953019243
1 38 0.019641616888075343
44 47 0.019346093671845983
45 49 0.01932716694260704
20 17 0.01931530063618411
19 15 0.01909923377865104
42 37 0.018965830593954416
22 27 0.01867804568159043
48 54 0.01712576306458224
16 10 0.017035987294604354
43 34 0.01671414667343557
21 30 0.016359160112678572
20 27 0.016113045348060774
44 37 0.01604600835683177
18 13 0.014934354993958019
45 43 0.014822675718641496
46 51 0.014803631577603027
19 21 0.014782118920719789
49 57 0.014208185656158064
15 7 0.014187292788992523
53 1 0.013809367002667765
36 18 0.013786227377221072
44 41 0.013757863707756937
20 23 0.013677181365248064
8 58 0.013485506408327425
56 6 0.013394038412755013
35 49 0.012813492490672101
35 53 0.012800705505545826
29 11 0.01271464750352608
29 15 0.01257315268246004
59 33 0.011142130666165059
48 49 0.01085131446952104
13 46 0.010843891538590557
62 18 0.010819313445942624
16 15 0.010788947692605294
50 38 0.010699583472199504
8 36 0.010642700235398858
33 51 0.010594024127846704
31 13 0.010573166318305056
17 52 0.009850312460217397
47 12 0.009743288779415724
49 27 0.009535089654907854
51 54 0.009220958757814236
38 59 0.009140544686842896
13 10 0.009055003200247047
42 14 0.00904255268937977
34 57 0.00887614916573072
30 7 0.00884355873818587
19 41 0.008672534812662648
45 23 0.008653355777684666
44 13 0.008588125838301902
43 17 0.008387022779629388
21 47 0.00821576980174829
45 27 0.008141921851268549
34 1 0.008092477522628608
19 37 0.007929289859672407
39 61 0.007624618959335825
25 3 0.007606656787079796
11 19 0.007550693993768839
51 45 0.007334906044033252
13 19 0.007323093217780527
59 55 0.006198712358673369
5 9 0.00615101136890618

Seeds and Diffraction Patterns Group 3
Seeds:
[22.09478241 37.34706963 -1.08361647] [28.32631367 35.19361764 -2.75113447] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32 31 1.0
33 28 0.2399640906289278
31 37 0.16516486686196835
30 39 0.10724598371712601
36 32 0.09094473056221533
35 23 0.0685123630651837
36 20 0.06093965589404237
29 42 0.06053910220318324
28 44 0.05358265884274522
30 26 0.05099969251222557
37 28 0.04822437714947756
37 35 0.046207306189517336
27 47 0.046020656190747015
26 32 0.041391649909367695
38 15 0.036033694892250744
25 52 0.0319360771145858
